record_id,policy_type,policy_op,policy_specific
Bao_2018,3_regulation,policy_theme,9090_Data sharing program
Bao_2018,3_regulation,policy_legislative,1_regulation of prescription drugs
Bao_2018,4_government policy,policy_theme,9090_Data sharing program
Bao_2018,4_government policy,policy_legislative,1_regulation of prescription drugs
Bao_2018,5_guidelines,policy_theme,9090_Data sharing program
Bao_2018,5_guidelines,policy_legislative,1_regulation of prescription drugs
Bao_2018,7_programs,policy_theme,9090_Data sharing program
Bao_2018,7_programs,policy_legislative,1_regulation of prescription drugs
Barber_2017,5_guidelines,policy_clinical,4_opioid prescribing standards
Barnes_2013,2_legislations,policy_legislative,1_regulation of prescription drugs
Barnett_2018,6_standards,policy_social,2_medical insurance changes
Bartelson_2017,8_strategies,policy_clinical,9090_ER/LA Opioid Analgesic Risk Evaluation and Mitigation Strategy
Barthwell_2016,3_regulation,policy_clinical,2_availability of OAT - provider - doctors
Beaudoin_2016,2_legislations,policy_legislative,1_regulation of prescription drugs
Beaudoin_2016,2_legislations,policy_legislative,9090_pain clinic laws
Beaudoin_2016,2_legislations,policy_clinical,2_availability of OAT - provider - doctors
Beaudoin_2016,2_legislations,policy_clinical,4_opioid prescribing standards
Beaudoin_2016,3_regulation,policy_legislative,1_regulation of prescription drugs
Beaudoin_2016,3_regulation,policy_legislative,9090_pain clinic laws
Beaudoin_2016,3_regulation,policy_clinical,2_availability of OAT - provider - doctors
Beaudoin_2016,3_regulation,policy_clinical,4_opioid prescribing standards
Beaudoin_2016,5_guidelines,policy_legislative,1_regulation of prescription drugs
Beaudoin_2016,5_guidelines,policy_legislative,9090_pain clinic laws
Beaudoin_2016,5_guidelines,policy_clinical,2_availability of OAT - provider - doctors
Beaudoin_2016,5_guidelines,policy_clinical,4_opioid prescribing standards
Beaudoin_2016,7_programs,policy_legislative,1_regulation of prescription drugs
Beaudoin_2016,7_programs,policy_legislative,9090_pain clinic laws
Beaudoin_2016,7_programs,policy_clinical,2_availability of OAT - provider - doctors
Beaudoin_2016,7_programs,policy_clinical,4_opioid prescribing standards
Becquemont_2014,3_regulation,policy_prescription,3_withdraw drug
Beheshti_2018,3_regulation,policy_prescription,2_changes in drug formulation
Beletsky_2008,2_legislations,policy_harm,3_SIS
Ben-Joseph_2014,3_regulation,policy_social,2_medical insurance changes
Bernhardt_2017,3_regulation,policy_prescription,1_drug rescheduling
Bernstein_2013,2_legislations,policy_harm,1_needle exchange/availability
Bernstein_2013,2_legislations,policy_legislative,9090_Municipal Zoning
Best_2010,7_programs,policy_law_enforce,2_police presence
Best_2010,7_programs,policy_clinical,7_compulsory treatment
Biddulph_2011,2_legislations,policy_law_enforce,1_policing tactics
Biddulph_2011,2_legislations,policy_law_enforce,2_police presence
Biddulph_2011,2_legislations,policy_law_enforce,9090_monitoring and surveillance
Biddulph_2011,2_legislations,policy_criminal,2_punitive charges
Biddulph_2011,2_legislations,policy_criminal,9090_involuntary treatment
Biddulph_2011,2_legislations,policy_theme,"9090_mandatory registration of drug users, who can then be tested for drugs at any time"
Biddulph_2011,2_legislations,policy_legislative,2_illicit drug policies
Biddulph_2011,2_legislations,policy_clinical,7_compulsory treatment
Biddulph_2011,2_legislations,policy_clinical,9090_Coersive police treatment centres or labour camps
Biddulph_2011,7_programs,policy_law_enforce,1_policing tactics
Biddulph_2011,7_programs,policy_law_enforce,2_police presence
Biddulph_2011,7_programs,policy_law_enforce,9090_monitoring and surveillance
Biddulph_2011,7_programs,policy_criminal,2_punitive charges
Biddulph_2011,7_programs,policy_criminal,9090_involuntary treatment
Biddulph_2011,7_programs,policy_theme,"9090_mandatory registration of drug users, who can then be tested for drugs at any time"
Biddulph_2011,7_programs,policy_legislative,2_illicit drug policies
Biddulph_2011,7_programs,policy_clinical,7_compulsory treatment
Biddulph_2011,7_programs,policy_clinical,9090_Coersive police treatment centres or labour camps
Bird_2015,7_programs,policy_clinical,1_availability of OAT
Bird_2016,7_programs,policy_harm,9090_national naloxone programme
Birk_2017,2_legislations,policy_legislative,1_regulation of prescription drugs
Black_2019,8_strategies,policy_clinical,9090_ER/LA Risk Evaluation and Mitigation Strategy
Blanchard_2016,5_guidelines,policy_clinical,1_availability of OAT
Blanchard_2016,5_guidelines,policy_clinical,4_opioid prescribing standards
Blanchard_2016,5_guidelines,policy_clinical,5_opioid prescribing standards - provider - doctor
Blanchard_2016,8_strategies,policy_clinical,1_availability of OAT
Blanchard_2016,8_strategies,policy_clinical,4_opioid prescribing standards
Blanchard_2016,8_strategies,policy_clinical,5_opioid prescribing standards - provider - doctor
Blanchard_2018,2_legislations,policy_harm,9090_naloxone program
Blanchard_2018,2_legislations,policy_legislative,5_first responders
Blanchard_2018,2_legislations,policy_clinical,1_availability of OAT
Blanchard_2018,7_programs,policy_harm,9090_naloxone program
Blanchard_2018,7_programs,policy_legislative,5_first responders
Blanchard_2018,7_programs,policy_clinical,1_availability of OAT
Bleyer_2019,2_legislations,policy_legislative,4_legalization
Bluthenthal_2018,2_legislations,policy_harm,1_needle exchange/availability
Bobashev_2018,2_legislations,policy_harm,9090_naloxone
Bobashev_2018,2_legislations,policy_legislative,1_regulation of prescription drugs
Bobashev_2018,2_legislations,policy_clinical,1_availability of OAT
Bobashev_2018,2_legislations,policy_prescription,2_changes in drug formulation
Bobashev_2018,3_regulation,policy_harm,9090_naloxone
Bobashev_2018,3_regulation,policy_legislative,1_regulation of prescription drugs
Bobashev_2018,3_regulation,policy_clinical,1_availability of OAT
Bobashev_2018,3_regulation,policy_prescription,2_changes in drug formulation
Bobashev_2018,7_programs,policy_harm,9090_naloxone
Bobashev_2018,7_programs,policy_legislative,1_regulation of prescription drugs
Bobashev_2018,7_programs,policy_clinical,1_availability of OAT
Bobashev_2018,7_programs,policy_prescription,2_changes in drug formulation
Boehnke_2016,7_programs,policy_theme,9090_medical cannabis
Bohnert_2011,7_programs,policy_law_enforce,1_policing tactics
Bohnert_2018,5_guidelines,policy_clinical,5_opioid prescribing standards - provider - doctor
Borquez_2018,2_legislations,policy_legislative,3_decriminalization
Boyer_2008,3_regulation,policy_theme,9090_Regulation of online pharmacies
Bradbury_2014,4_government policy,policy_harm,"9090_pre-release (from prison) counselling on OD risks and prevention, and training in 1st aid and OD management"
Bradbury_2014,4_government policy,policy_harm,9090_2_Naloxone - THN
Bradbury_2014,4_government policy,policy_criminal,9090_This paper wasn't specifically talking about criminal justice policies; rather the whole paper is about the impact of OD and drug treatment programs for the population that is being released from prison.
Bradbury_2014,4_government policy,policy_clinical,1_availability of OAT
Bradbury_2014,7_programs,policy_harm,"9090_pre-release (from prison) counselling on OD risks and prevention, and training in 1st aid and OD management"
Bradbury_2014,7_programs,policy_harm,9090_2_Naloxone - THN
Bradbury_2014,7_programs,policy_criminal,9090_This paper wasn't specifically talking about criminal justice policies; rather the whole paper is about the impact of OD and drug treatment programs for the population that is being released from prison.
Bradbury_2014,7_programs,policy_clinical,1_availability of OAT
Bradbury_2014,8_strategies,policy_harm,"9090_pre-release (from prison) counselling on OD risks and prevention, and training in 1st aid and OD management"
Bradbury_2014,8_strategies,policy_harm,9090_2_Naloxone - THN
Bradbury_2014,8_strategies,policy_criminal,9090_This paper wasn't specifically talking about criminal justice policies; rather the whole paper is about the impact of OD and drug treatment programs for the population that is being released from prison.
Bradbury_2014,8_strategies,policy_clinical,1_availability of OAT
Bradbury_2014a,4_government policy,policy_harm,9090_Naloxone - THN
Bradbury_2014a,4_government policy,policy_criminal,9090_This paper wasn't specifically talking about criminal justice policies; rather the whole paper is about the impact of OD and drug treatment programs for the population that is being released from prison.
Bradbury_2014a,4_government policy,policy_clinical,1_availability of OAT
Bradbury_2014a,7_programs,policy_harm,9090_Naloxone - THN
Bradbury_2014a,7_programs,policy_criminal,9090_This paper wasn't specifically talking about criminal justice policies; rather the whole paper is about the impact of OD and drug treatment programs for the population that is being released from prison.
Bradbury_2014a,7_programs,policy_clinical,1_availability of OAT
Bradbury_2014a,8_strategies,policy_harm,9090_Naloxone - THN
Bradbury_2014a,8_strategies,policy_criminal,9090_This paper wasn't specifically talking about criminal justice policies; rather the whole paper is about the impact of OD and drug treatment programs for the population that is being released from prison.
Bradbury_2014a,8_strategies,policy_clinical,1_availability of OAT
Bradford_2016,2_legislations,policy_legislative,4_legalization
Bradford_2018,2_legislations,policy_legislative,4_legalization
Brady_2014,2_legislations,policy_legislative,1_regulation of prescription drugs
Brands_2003,7_programs,policy_clinical,1_availability of OAT
Branham_2017,2_legislations,policy_legislative,1_regulation of prescription drugs
Bravo_2007,7_programs,policy_harm,1_needle exchange/availability
Brighthaupt_2019,2_legislations,policy_legislative,1_regulation of prescription drugs
Brown_2010,1_legal,policy_criminal,1_drug courts
Brown_2017,2_legislations,policy_legislative,1_regulation of prescription drugs
Brownsberger_2004,2_legislations,policy_criminal,2_punitive charges
Brownsberger_2004,2_legislations,policy_legislative,9090_Increased penalties for dealing in school zones
Bruce_2009,4_government policy,policy_prescription,2_changes in drug formulation
Bruce_2009,5_guidelines,policy_prescription,2_changes in drug formulation
Buchmueller_2018,2_legislations,policy_legislative,1_regulation of prescription drugs
Buer_2014,4_government policy,policy_prescription,2_changes in drug formulation
Buhl_2004,2_legislations,policy_legislative,9090_mandated responsibility for care of Problem Drug Users to govt (away from GPs and private clinics)
Buhl_2004,2_legislations,policy_clinical,9090_mandated responsibility for medical treatment of PDU from GP or private clinic to county/government clinic.
Bunting_2019,2_legislations,policy_harm,1_needle exchange/availability
Bunting_2019,2_legislations,policy_legislative,1_regulation of prescription drugs
Bunting_2019,2_legislations,policy_legislative,5_first responders
Bunting_2019,2_legislations,policy_prescription,2_changes in drug formulation
Bunting_2019,3_regulation,policy_harm,1_needle exchange/availability
Bunting_2019,3_regulation,policy_legislative,1_regulation of prescription drugs
Bunting_2019,3_regulation,policy_legislative,5_first responders
Bunting_2019,3_regulation,policy_prescription,2_changes in drug formulation
Burger_2017,2_legislations,policy_legislative,2_illicit drug policies
Burns_2016,4_government policy,policy_social,2_medical insurance changes
Burns_2016,4_government policy,policy_clinical,4_opioid prescribing standards
Burns_2016,4_government policy,policy_prescription,1_drug rescheduling
Burns_2016,4_government policy,policy_prescription,2_changes in drug formulation
Burns_2016,4_government policy,policy_prescription,9090_Administrative barriers
Burns_2016,5_guidelines,policy_social,2_medical insurance changes
Burns_2016,5_guidelines,policy_clinical,4_opioid prescribing standards
Burns_2016,5_guidelines,policy_prescription,1_drug rescheduling
Burns_2016,5_guidelines,policy_prescription,2_changes in drug formulation
Burns_2016,5_guidelines,policy_prescription,9090_Administrative barriers
Burns_2016,7_programs,policy_social,2_medical insurance changes
Burns_2016,7_programs,policy_clinical,4_opioid prescribing standards
Burns_2016,7_programs,policy_prescription,1_drug rescheduling
Burns_2016,7_programs,policy_prescription,2_changes in drug formulation
Burns_2016,7_programs,policy_prescription,9090_Administrative barriers
Burns_2016,8_strategies,policy_social,2_medical insurance changes
Burns_2016,8_strategies,policy_clinical,4_opioid prescribing standards
Burns_2016,8_strategies,policy_prescription,1_drug rescheduling
Burns_2016,8_strategies,policy_prescription,2_changes in drug formulation
Burns_2016,8_strategies,policy_prescription,9090_Administrative barriers
Busch_2014,2_legislations,policy_social,2_medical insurance changes
Butler_2013,3_regulation,policy_prescription,2_changes in drug formulation
Cady_2019,2_legislations,policy_legislative,1_regulation of prescription drugs
Cahill_2003,2_legislations,policy_legislative,"9090_Client monitoring system (ie, patient treatment list for all patients prescribed methadone)"
Cahill_2003,2_legislations,policy_clinical,2_availability of OAT - provider - doctors
Cahill_2003,2_legislations,policy_clinical,4_opioid prescribing standards
Cahill_2003,3_regulation,policy_legislative,"9090_Client monitoring system (ie, patient treatment list for all patients prescribed methadone)"
Cahill_2003,3_regulation,policy_clinical,2_availability of OAT - provider - doctors
Cahill_2003,3_regulation,policy_clinical,4_opioid prescribing standards
Cairns_2016,3_regulation,policy_prescription,1_drug rescheduling
Calsyn_2003,7_programs,policy_clinical,7_compulsory treatment
Capoccia_2012,2_legislations,policy_social,2_medical insurance changes
Cassidy_2014,3_regulation,policy_prescription,2_changes in drug formulation
Cassidy_2017,3_regulation,policy_prescription,2_changes in drug formulation
Castillo-Carniglia_2019,2_legislations,policy_legislative,1_regulation of prescription drugs
Casturi_2013,2_legislations,policy_legislative,1_regulation of prescription drugs
CDC_nd,2_legislations,policy_legislative,1_regulation of prescription drugs
CDC_nd_2,2_legislations,policy_legislative,1_regulation of prescription drugs
CDC_nd_3,2_legislations,policy_legislative,1_regulation of prescription drugs
CDC_nd_4,2_legislations,policy_legislative,1_regulation of prescription drugs
CDC_nd_5,2_legislations,policy_legislative,1_regulation of prescription drugs
CDC_nd_6,3_regulation,policy_legislative,9090_pain clinic laws
CDC_nd_7,2_legislations,policy_legislative,1_regulation of prescription drugs
Cerda_2018,2_legislations,policy_legislative,4_legalization
Chacko_2017,7_programs,policy_clinical,5_opioid prescribing standards - provider - doctor
Chambers_2015,3_regulation,policy_prescription,1_drug rescheduling
Chan_2019,2_legislations,policy_legislative,4_legalization
Chang_2016,2_legislations,policy_legislative,1_regulation of prescription drugs
Chang_2018,2_legislations,policy_legislative,1_regulation of prescription drugs
Chang_2018_2,3_regulation,policy_prescription,2_changes in drug formulation
Chen_2016,4_government policy,policy_harm,1_needle exchange/availability
Chen_2016,4_government policy,policy_clinical,1_availability of OAT
Chen_2018,3_regulation,policy_prescription,2_changes in drug formulation
Chen_2019,5_guidelines,policy_clinical,4_opioid prescribing standards
Chen_2019,5_guidelines,policy_clinical,5_opioid prescribing standards - provider - doctor
Chen_2019,5_guidelines,policy_clinical,6_opioid prescribing standards - provider - pharmacist
Cherny_2010,2_legislations,policy_legislative,1_regulation of prescription drugs
Cheurprakobkit_2000,4_government policy,policy_legislative,9090_Drug suppression and prevention policies
Cheurprakobkit_2000,4_government policy,policy_clinical,7_compulsory treatment
Chihuri_2019,2_legislations,policy_legislative,4_legalization
Chilcoat_2016,3_regulation,policy_prescription,2_changes in drug formulation
Chiu_2018,7_programs,policy_prescription,9090_Lowering default pill counts in EMR system
Christopher_2015,2_legislations,policy_legislative,9090_substance  related civil commitment laws
Chu_2015,2_legislations,policy_legislative,4_legalization
Chumpitazi_2017,3_regulation,policy_prescription,1_drug rescheduling
Chun_2007,2_legislations,policy_criminal,1_drug courts
Cicero_2015,3_regulation,policy_prescription,2_changes in drug formulation
Cicero_2019,3_regulation,policy_prescription,2_changes in drug formulation
Clark_2014,4_government policy,policy_social,2_medical insurance changes
Clark_2014,4_government policy,policy_clinical,1_availability of OAT
Cleary_2013,3_regulation,policy_legislative,1_regulation of prescription drugs
Cleary_2013_2,2_legislations,policy_prescription,9090_A variety related to restrictions on prescribing of opioids
Cleary_2013_2,3_regulation,policy_prescription,9090_A variety related to restrictions on prescribing of opioids
Cleary_2013_3,2_legislations,policy_legislative,1_regulation of prescription drugs
Cleary_2013_3,3_regulation,policy_legislative,1_regulation of prescription drugs
Cleary_2013_4,2_legislations,policy_legislative,1_regulation of prescription drugs
Cleary_2013_4,3_regulation,policy_legislative,1_regulation of prescription drugs
Cleary_2013_5,2_legislations,policy_legislative,1_regulation of prescription drugs
Cleary_2013_5,3_regulation,policy_legislative,1_regulation of prescription drugs
Cochella_2011,7_programs,policy_clinical,5_opioid prescribing standards - provider - doctor
Cochran_2017,2_legislations,policy_social,2_medical insurance changes
Cooper_2005,8_strategies,policy_law_enforce,1_policing tactics
Cooper_2005_2,8_strategies,policy_law_enforce,1_policing tactics
Cooper_2005_2,8_strategies,policy_law_enforce,2_police presence
Coplan_2013,3_regulation,policy_prescription,2_changes in drug formulation
Coplan_2016,3_regulation,policy_prescription,2_changes in drug formulation
Corcoran_2010,3_regulation,policy_prescription,3_withdraw drug
Corsaro_2010,8_strategies,policy_law_enforce,1_policing tactics
Corsaro_2012,8_strategies,policy_law_enforce,1_policing tactics
Corsaro_2013,8_strategies,policy_law_enforce,1_policing tactics
Costa Storti_2009,8_strategies,policy_law_enforce,9090_supply containment policies
Cotti_2014,7_programs,policy_criminal,9090_Diversion
Courtwright_2004,2_legislations,policy_legislative,2_illicit drug policies
Courtwright_2004,8_strategies,policy_legislative,2_illicit drug policies
Cowell_2004,3_regulation,policy_criminal,9090_diversion
Crabtree_2019,5_guidelines,policy_clinical,5_opioid prescribing standards - provider - doctor
Csete_2013,4_government policy,policy_criminal,1_drug courts
Csete_2013,7_programs,policy_criminal,1_drug courts
Cunningham_2008,2_legislations,policy_legislative,1_regulation of prescription drugs
Danovich_2019,2_legislations,policy_legislative,1_regulation of prescription drugs
Dart_2018,3_regulation,policy_prescription,2_changes in drug formulation
Dave_2018,2_legislations,policy_legislative,1_regulation of prescription drugs
Davis_2006,3_regulation,policy_law_enforce,2_police presence
Davis_2014_1,2_legislations,policy_legislative,1_regulation of prescription drugs
Davis_2014_1,3_regulation,policy_legislative,1_regulation of prescription drugs
Davis_2014_2,2_legislations,policy_legislative,5_first responders
Davis_2014_2,3_regulation,policy_legislative,5_first responders
Davis_2014_2,4_government policy,policy_legislative,5_first responders
Davis_2015,2_legislations,policy_prescription,9090_access to naloxone
Davis_2015,3_regulation,policy_prescription,9090_access to naloxone
Davis_2015,4_government policy,policy_prescription,9090_access to naloxone
Davis_2015_2,7_programs,policy_law_enforce,9090_naloxone administration by police
Davis_2016,2_legislations,policy_theme,9090_CME/physician education laws
Davis_2016,3_regulation,policy_theme,9090_CME/physician education laws
Davis_2017,2_legislations,policy_harm,9090_prescription of naloxone
Davis_2017,2_legislations,policy_legislative,1_regulation of prescription drugs
Davis_2017,2_legislations,policy_prescription,9090_prescription of naloxone
Davis_2017,3_regulation,policy_harm,9090_prescription of naloxone
Davis_2017,3_regulation,policy_legislative,1_regulation of prescription drugs
Davis_2017,3_regulation,policy_prescription,9090_prescription of naloxone
Davis_2019,2_legislations,policy_legislative,1_regulation of prescription drugs
Davis_2019,2_legislations,policy_clinical,4_opioid prescribing standards
Davis_2019,2_legislations,policy_clinical,5_opioid prescribing standards - provider - doctor
Davis_2019,2_legislations,policy_clinical,6_opioid prescribing standards - provider - pharmacist
Davis_2019,2_legislations,policy_prescription,1_drug rescheduling
Davis_2019,3_regulation,policy_legislative,1_regulation of prescription drugs
Davis_2019,3_regulation,policy_clinical,4_opioid prescribing standards
Davis_2019,3_regulation,policy_clinical,5_opioid prescribing standards - provider - doctor
Davis_2019,3_regulation,policy_clinical,6_opioid prescribing standards - provider - pharmacist
Davis_2019,3_regulation,policy_prescription,1_drug rescheduling
Davis_2019,4_government policy,policy_legislative,1_regulation of prescription drugs
Davis_2019,4_government policy,policy_clinical,4_opioid prescribing standards
Davis_2019,4_government policy,policy_clinical,5_opioid prescribing standards - provider - doctor
Davis_2019,4_government policy,policy_clinical,6_opioid prescribing standards - provider - pharmacist
Davis_2019,4_government policy,policy_prescription,1_drug rescheduling
Davis_2019,5_guidelines,policy_legislative,1_regulation of prescription drugs
Davis_2019,5_guidelines,policy_clinical,4_opioid prescribing standards
Davis_2019,5_guidelines,policy_clinical,5_opioid prescribing standards - provider - doctor
Davis_2019,5_guidelines,policy_clinical,6_opioid prescribing standards - provider - pharmacist
Davis_2019,5_guidelines,policy_prescription,1_drug rescheduling
Davis_2019,6_standards,policy_legislative,1_regulation of prescription drugs
Davis_2019,6_standards,policy_clinical,4_opioid prescribing standards
Davis_2019,6_standards,policy_clinical,5_opioid prescribing standards - provider - doctor
Davis_2019,6_standards,policy_clinical,6_opioid prescribing standards - provider - pharmacist
Davis_2019,6_standards,policy_prescription,1_drug rescheduling
Davis_2019,7_programs,policy_legislative,1_regulation of prescription drugs
Davis_2019,7_programs,policy_clinical,4_opioid prescribing standards
Davis_2019,7_programs,policy_clinical,5_opioid prescribing standards - provider - doctor
Davis_2019,7_programs,policy_clinical,6_opioid prescribing standards - provider - pharmacist
Davis_2019,7_programs,policy_prescription,1_drug rescheduling
Davis_2019_2,2_legislations,policy_legislative,1_regulation of prescription drugs
Davis_2019_2,3_regulation,policy_legislative,1_regulation of prescription drugs
De Lima_2001,2_legislations,policy_legislative,1_regulation of prescription drugs
De Lima_2001,3_regulation,policy_legislative,1_regulation of prescription drugs
De Wree_2009,7_programs,policy_criminal,1_drug courts
Deacon_2016,3_regulation,policy_prescription,1_drug rescheduling
DeBeck_2017,2_legislations,policy_law_enforce,1_policing tactics
DeBeck_2017,2_legislations,policy_law_enforce,2_police presence
DeBeck_2017,2_legislations,policy_criminal,2_punitive charges
DeBeck_2017,2_legislations,policy_legislative,2_illicit drug policies
DeBeck_2017,3_regulation,policy_law_enforce,1_policing tactics
DeBeck_2017,3_regulation,policy_law_enforce,2_police presence
DeBeck_2017,3_regulation,policy_criminal,2_punitive charges
DeBeck_2017,3_regulation,policy_legislative,2_illicit drug policies
DeBeck_2017,8_strategies,policy_law_enforce,1_policing tactics
DeBeck_2017,8_strategies,policy_law_enforce,2_police presence
DeBeck_2017,8_strategies,policy_criminal,2_punitive charges
DeBeck_2017,8_strategies,policy_legislative,2_illicit drug policies
DeFulio_2013,1_legal,policy_criminal,1_drug courts
Degenhardt_2015,3_regulation,policy_prescription,2_changes in drug formulation
Deiana_2019,2_legislations,policy_theme,9090_doctor shopping laws
Deiana_2019,2_legislations,policy_legislative,4_legalization
Deiana_2019,2_legislations,policy_legislative,9090_pain clinic laws
Deiana_2019,3_regulation,policy_theme,9090_doctor shopping laws
Deiana_2019,3_regulation,policy_legislative,4_legalization
Deiana_2019,3_regulation,policy_legislative,9090_pain clinic laws
Delcher_2015,2_legislations,policy_legislative,1_regulation of prescription drugs
Delcher_2017,3_regulation,policy_prescription,3_withdraw drug
DeSimone_2005,7_programs,policy_harm,1_needle exchange/availability
Dhalla_2009,8_strategies,policy_prescription,2_changes in drug formulation
Dhanda_2018,2_legislations,policy_legislative,1_regulation of prescription drugs
Dhanda_2018,2_legislations,policy_legislative,9090_pain clinic laws
Dick_2015,3_regulation,policy_clinical,2_availability of OAT - provider - doctors
Dillender_2018,2_legislations,policy_social,2_medical insurance changes
Dineen_2016,2_legislations,policy_legislative,1_regulation of prescription drugs
Dineen_2016,3_regulation,policy_legislative,1_regulation of prescription drugs
