record_id,Reference,,,,,,,
Andraka-Christou_2017,"Andraka-Christou, B. (2017). What Is Treatment for Opioid Addiction in Problem-Solving Courts: A Study of 20 Indiana Drug and Veterans Courts. Stanford Journal of Civil Rights & Civil Liberties, 13, 189–254.",,,,,,,
Andresen_2009,"Andresen, M. A., & Boyd, N. (2010). A cost-benefit and cost-effectiveness analysis of Vancouver’s supervised injection facility. Int J Drug Policy, 21(1), 70–76. https://doi.org/10.1016/j.drugpo.2009.03.004",,,,,,,
Andrews_2014,"Andrews, Christina M. (2014). The Relationship of State Medicaid Coverage to Medicaid Acceptance Among Substance Abuse Providers in the United States. The Journal of Behavioral Health Services & Research, 41(4), 460–472. https://doi.org/10.1007/s11414-013-9387-2",,,,,,,
Andrews_2018,"Andrews, C. M., Grogan, C. M., Westlake, M. A., Abraham, A. J., Pollack, H. A., D’Aunno, T. A., & Friedmann, P. D. (2018). Do benefits restrictions limit Medicaid acceptance in addiction treatment? Results from a national study. J Subst Abuse Treat, 87, 50–55. https://doi.org/10.1016/j.jsat.2018.01.010",,,,,,,
Andrews_2019,"Andrews, C. M., Abraham, A. J., Grogan, C. M., Westlake, M. A., Pollack, H. A., & Friedmann, P. D. (2019). Impact of Medicaid Restrictions on Availability of Buprenorphine in Addiction Treatment Programs. Am J Public Health, 109(3), 434–436. https://doi.org/10.2105/ajph.2018.304856",,,,,,,
Andrews_2019_2,"Andrews, C. M., Pollack, H. A., Abraham, A. J., Grogan, C. M., Bersamira, C. S., D’Aunno, T., & Friedmann, P. D. (2019). Medicaid coverage in substance use disorder treatment after the affordable care act. J Subst Abuse Treat, 102, 1–7. https://doi.org/10.1016/j.jsat.2019.04.002",,,,,,,
Angelotta_2016,"Angelotta, C., Weiss, C. J., Angelotta, J. W., & Friedman, R. A. (2016). A Moral or Medical Problem? The Relationship between Legal Penalties and Treatment Practices for Opioid Use Disorders in Pregnant Women. Womens Health Issues, 26(6), 595–601.",,,,,,,
Angelotta_2017,"Angelotta, C., & Appelbaum, P. S. (2017). Criminal Charges for Child Harm from Substance Use in Pregnancy. Journal of the American Academy of Psychiatry & the Law, 45(2), 193–203.",,,,,,,
Anglin_2013,"Anglin, M. D., Nosyk, B., Jaffe, A., Urada, D., & Evans, E. (2013). Offender diversion into substance use disorder treatment: The economic impact of California’s proposition 36. Am J Public Health, 103(6), 1096–1102. https://doi.org/10.2105/ajph.2012.301168",,,,,,,
Anglin_2013_2,"Anglin, D. M., Jaffee, A., Nysok, B., Urada, D., & Evans, E. (2013). Offender Diversion into Substance Use Disorder Treatment: Demographic Variation in the Economic Impact of California’s Proposition 36. Journal of Alcoholism & Drug Dependence, 1(7), 1000140. https://doi.org/10.4172/2329-6488.1000140",,,,,,,
Arredondo_2018,"Arredondo, J., Gaines, T., Manian, S., Vilalta, C., Banuelos, A., Strathdee, S. A., & Beletsky, L. (2018). The law on the streets: Evaluating the impact of Mexico’s drug decriminalization reform on drug possession arrests in Tijuana, Mexico. Int J Drug Policy, 54, 1–8. https://doi.org/10.1016/j.drugpo.2017.12.006",,,,,,,
Asher_2013,"Asher, H. (2013). Methadone prescribing in local prisons in England. Drugs & Alcohol Today, 13(4), 234-243 10p.",,,,,,,
Atkins_2018,"Atkins, D. N., Durrance, C. P., & Kim, Y. (2019). Good Samaritan harm reduction policy and drug overdose deaths. Health Serv Res, 54(2), 407–416. https://doi.org/10.1111/1475-6773.13119",,,,,,,
Aubrun_2007,"Aubrun, F., Chretien, E., Letrilliart, L., Ginoux, M., Belhassen, M., Lanteri-Minet, M., Van Ganse, E., & Beloeil, H. (2017). What are the therapeutic alternatives to dextropropoxyphene in France? A prescribers’ survey. Anaesth Crit Care Pain Med, 36(1), 15–19. https://doi.org/10.1016/j.accpm.2016.01.007",,,,,,,
Auerhahn_2004,"Auerhahn, K. (2004). California’s Incarcerated Drug Offender Population, Yesterday, Today, and Tomorrow: Evaluating the War on Drugs and Proposition 36. Journal of Drug Issues, 34(1), 95–120. https://doi.org/10.1177/002204260403400105",,,,,,,
Ayres_2018,"Ayres, I., & Jalal, A. (2018). The Impact of Prescription Drug Monitoring Programs on U.S. Opioid Prescriptions. The Journal of Law, Medicine & Ethics, 46(2), 387–403. https://doi.org/10.1177/1073110518782948",,,,,,,
Azrin_2007,"Azrin, S. T., Huskamp, H. A., Azzone, V., Goldman, H. H., Frank, R. G., Burnam, M. A., Normand, S. L., Ridgely, M. S., Young, A. S., Barry, C. L., Busch, A. B., & Moran, G. (2007). Impact of full mental health and substance abuse parity for children in the Federal Employees Health Benefits Program. Pediatrics, 119(2), e452-9. https://doi.org/10.1542/peds.2006-0673",,,,,,,
Azzone_2011,"Azzone, V., Frank, R. G., Normand, S. L., & Burnam, M. A. (2011). Effect of insurance parity on substance abuse treatment. Psychiatr Serv, 62(2), 129–134. https://doi.org/10.1176/ps.62.2.pss6202_0129",,,,,,,
Bachhuber_2014,"Bachhuber, M. A., Saloner, B., Cunningham, C. O., & Barry, C. L. (2014). Medical cannabis laws and opioid analgesic overdose mortality in the United States, 1999-2010. JAMA Internal Medicine, 174(10), 1668–1673.",,,,,,,
Bachhuber_2018,"Bachhuber, M. A., Mehta, P. K., Faherty, L. J., & Saloner, B. (2017). Medicaid Coverage of Methadone Maintenance and the Use of Opioid Agonist Therapy Among Pregnant Women in Specialty Treatment. Med Care, 55(12), 985–990. https://doi.org/10.1097/mlr.0000000000000803",,,,,,,
Bachhuber_2019,"Bachhuber, M. A., Tuazon, E., Nolan, M. L., Kunins, H. V., & Paone, D. (2019). Impact of a prescription drug monitoring program use mandate on potentially problematic patterns of opioid analgesic prescriptions in New York City. Pharmacoepidemiol Drug Saf, 28(5), 734–739. https://doi.org/10.1002/pds.4766",,,,,,,
Baicker_2017,"Baicker, K., Allen, H. L., Wright, B. J., & Finkelstein, A. N. (2017). The Effect Of Medicaid On Medication Use Among Poor Adults: Evidence From Oregon. Health Aff (Millwood), 36(12), 2110–2114. https://doi.org/10.1377/hlthaff.2017.0925",,,,,,,
Bammer_2000,"Bammer, G., Battisson, L., Ward, J., & Wilson, S. (2000). The impact on retention of expansion of an Australian public methadone program. Drug and Alcohol Dependence, 58(1–2), 173–180. https://doi.org/10.1016/s0376-8716(99)00084-8",,,,,,,
Bao_2016,"Bao, Y., Pan, Y., Taylor, A., Radakrishnan, S., Luo, F., Pincus, H. A., & Schackman, B. R. (2016). Prescription Drug Monitoring Programs Are Associated With Sustained Reductions In Opioid Prescribing By Physicians. Health Affairs, 35(6), 1045–1051.",,,,,,,
Bao_2018,"Bao, Y., Wen, K., Johnson, P., Jeng, P. J., Meisel, Z. F., & Schackman, B. R. (2018). Assessing The Impact Of State Policies For Prescription Drug Monitoring Programs On High-Risk Opioid Prescriptions. Health Aff (Millwood), 37(10), 1596–1604. https://doi.org/10.1377/hlthaff.2018.0512",,,,,,,
Barber_2017,"Barber, C., Gagnon, D., Fonda, J., Cho, K., Hermos, J., & Miller, M. (2017). Assessing the impact of prescribing directives on opioid prescribing practices among Veterans Health Administration providers. Pharmacoepidemiology & Drug Safety, 26(1), 40–46.",,,,,,,
Barnes_2013,"Barnes, M. C., & Arndt, G. (2013). The Best of Both Worlds: Applying Federal Commerce and State Police Powers to Reduce Prescription Drug Abuse. Journal of Health Care Law and Policy, 16, 271–308.",,,,,,,
Barnett_2018,"Barnett, M. L., Olenski, A. R., Thygeson, N. M., Ishisaka, D., Wong, S., Jena, A. B., & Mehrotra, A. (2018). A Health Plan’s Formulary Led To Reduced Use Of Extended-Release Opioids But Did Not Lower Overall Opioid Use. Health Aff (Millwood), 37(9), 1509–1516. https://doi.org/10.1377/hlthaff.2018.0391",,,,,,,
Bartelson_2017,"Bartelson, B. B., Le Lait, M. C., Green, J. L., Cepeda, M. S., Coplan, P. M., Maziere, J. Y., Wedin, G. P., & Dart, R. C. (2017). Changes in misuse and abuse of prescription opioids following implementation of Extended-Release and Long-Acting Opioid Analgesic Risk Evaluation and Mitigation Strategy. Pharmacoepidemiol Drug Saf, 26(9), 1061–1070. https://doi.org/10.1002/pds.4257",,,,,,,
Barthwell_2016,"Barthwell, A. G., Young, J. M., Barnes, M. C., & Kulkarni, S. R. (2016). What’s in a number? Recommending practicality in the DATA 2000 patient limits. Journal of Opioid Management, 12(4), 243–250.",,,,,,,
Beaudoin_2016,"Beaudoin, F. L., Banerjee, G. N., & Mello, M. J. (2016). State-level and system-level opioid prescribing policies: The impact on provider practices and overdose deaths, a systematic review. Journal of Opioid Management, 12(2), 109–118.",,,,,,,
Becquemont_2014,"Becquemont, L., Delespierre, T., Bauduceau, B., Benattar-Zibi, L., Berrut, G., Corruble, E., Danchin, N., Derumeaux, G., Doucet, J., Falissard, B., Forette, F., Hanon, O., Pasquier, F., Pinget, M., Ourabah, R., Bucher, S., Lazkani, A., Piedvache, C., & Bertin, P. (2014). Consequences of dextropropoxyphene market withdrawal in elderly patients with chronic pain. Eur J Clin Pharmacol, 70(10), 1237–1242. https://doi.org/10.1007/s00228-014-1722-x",,,,,,,
Beheshti_2018,"Beheshti, D. (2019). Adverse health effects of abuse-deterrent opioids: Evidence from the reformulation of OxyContin. Health Economics, 28(12), 1449-1461. https://doi.org/10.1002/hec.3944",,,,,,,
Beletsky_2008,"Beletsky, L., Davis, C. S., Anderson, E., & Burris, S. (2008). The law (and politics) of safe injection facilities in the United States. American Journal of Public Health, 98(2), 231–237.",,,,,,,
Ben-Joseph_2014,"Ben-Joseph, R., Chen, C. C., De, A. P., Wade, R. L., & Shah, D. (2014). Consequences of patient access restrictions to branded oxycodone hydrochloride extended-release tablets on healthcare utilization and costs in US health plans. Journal of Medical Economics, 17(10), 708–718.",,,,,,,
Bernhardt_2017,"Bernhardt, M. B., Taylor, R. S., Hagan, J. L., Patel, N., Chumpitazi, C. E., Fox, K. A., & Glover, C. (2017). Evaluation of opioid prescribing after rescheduling of hydrocodone-containing products. American Journal of Health-System Pharmacy, 74(24), 2046–2053.",,,,,,,
Bernstein_2013,"Bernstein, S. E., & Bennett, D. (2013). Zoned Out: “NIMBYism”, addiction services and municipal governance in British Columbia. International Journal of Drug Policy, 24(6), e61-5.",,,,,,,
Best_2010,"Best, D., Walker, D., Aston, E., Pegram, C., & O’Donnell, G. (2010). Assessing the impact of a high-intensity partnership between the police and drug treatment service in addressing the offending of problematic drug users. Policing & Society, 20(3), 358–369.",,,,,,,
Biddulph_2011,"Biddulph, S., & Xie, C. (2011). Regulating Drug Dependency in China: The 2008 PRC Drug Prohibition Law. British Journal of Criminology, 51, 978–996.",,,,,,,
Bird_2015,"Bird, S. M., Fischbacher, C. M., Graham, L., & Fraser, A. (2015). Impact of opioid substitution therapy for Scotland’s prisoners on drug-related deaths soon after prisoner release. Addiction, 110(10), 1617–1624.",,,,,,,
Bird_2016,"Bird, S. M., McAuley, A., Perry, S., & Hunter, C. (2016). Effectiveness of Scotland’s National Naloxone Programme for reducing opioid-related deaths: A before (2006-10) versus after (2011-13) comparison. Addiction, 111(5), 883–891.",,,,,,,
Birk_2017,"Birk, E., & Waddell, G. R. (2017). The mitigating role of prescription drug monitoring programs in the abuse of prescription drugs (SSRN Scholarly Paper ID 3037875). Social Science Research Network. https://papers.ssrn.com/abstract=3037875",,,,,,,
Black_2019,"Black, J. C., Bau, G. E., Rosen, T., Cepeda, M. S., Wedin, G. P., Green, J. L., & Dart, R. C. (2019). Changes in Mortality Involving Extended-Release and Long-Acting Opioids After Implementation of a Risk Evaluation and Mitigation Strategy. Pain Med 21(1), 92-100. https://doi.org/10.1093/pm/pnz031",,,,,,,
Blanchard_2016,"Blanchard, J., Hunter, S. B., Osilla, K. C., Stewart, W., Walters, J., & Pacula, R. L. (2016). A Systematic Review of the Prevention and Treatment of Prescription Drug Misuse. Military Medicine, 181(5), 410–423.",,,,,,,
Blanchard_2018,"Blanchard, J., Weiss, A. J., Barrett, M. L., McDermott, K. W., & Heslin, K. C. (2018). State variation in opioid treatment policies and opioid-related hospital readmissions. BMC Health Serv Res, 18(1), 971. https://doi.org/10.1186/s12913-018-3703-8",,,,,,,
Bleyer_2019,"Bleyer, A., & Barnes, B. (2019). Contribution of Marijuana Legalization to the U.S. Opioid Mortality Epidemic: Individual and Combined Experience of 27 States and District of Columbia. MedRxiv. https://doi.org/10.1101/19007393",,,,,,,
Bluthenthal_2018,"Bluthenthal, R. N., Heinzerling, K. G., Anderson, R., Flynn, N. M., & Kral, A. H. (2008). Approval of syringe exchange programs in California: Results from a local approach to HIV prevention. Am J Public Health, 98(2), 278–283. https://doi.org/10.2105/ajph.2005.080770",,,,,,,
Bobashev_2018,"Bobashev, G., Goree, S., Frank, J., & Zule, W. (2018, 2018//). Pain Town, an Agent-Based Model of Opioid Use Trajectories in a Small Community. Social, Cultural, and Behavioral Modeling, Cham.",,,,,,,
Boehnke_2016,"Boehnke, K. F., Litinas, E., & Clauw, D. J. (2016). Medical Cannabis Use Is Associated With Decreased Opiate Medication Use in a Retrospective Cross-Sectional Survey of Patients With Chronic Pain. Journal of Pain, 17(6), 739–744.",,,,,,,
Bohnert_2011,"Bohnert, A. S. B., N., i, A., Tracy, M., Cerda, M., Tardiff, K. J., Vlahov, D., & Galea, S. (2011). Policing and risk of overdose mortality in urban neighborhoods. Drug and Alcohol Dependence, 113(1), 62–68.",,,,,,,
Bohnert_2018,"Bohnert, A. S. B., Guy, G. P., Jr., & Losby, J. L. (2018). Opioid Prescribing in the United States Before and After the Centers for Disease Control and Prevention’s 2016 Opioid Guideline. Ann Intern Med, 169(6), 367–375. https://doi.org/10.7326/m18-1243",,,,,,,
Borquez_2018,"Borquez, A., Beletsky, L., Nosyk, B., Strathdee, S. A., Madrazo, A., Abramovitz, D., Rafful, C., Morales, M., Cepeda, J., Panagiotoglou, D., Krebs, E., Vickerman, P., Claude Boily, M., Thomson, N., & Martin, N. K. (2018). The effect of public health-oriented drug law reform on HIV incidence in people who inject drugs in Tijuana, Mexico: An epidemic modelling study. Lancet Public Health, 3(9), e429–e437. https://doi.org/10.1016/s2468-2667(18)30097-5",,,,,,,
Boyer_2008,"Boyer, E. W., & Wines, J. D., Jr. (2008). Impact of Internet pharmacy regulation on opioid analgesic availability. Journal of Studies on Alcohol & Drugs, 69(5), 703–708.",,,,,,,
Bradbury_2014a,"Bradbury, G. (2014a). Overdose prevention services upon release from prison: Best practices from Scotland, Denmark, Italy and Spain . https://www.drugsandalcohol.ie/22777/",,,,,,,
Bradbury_2014b,"Bradbury, G. (2014b). Overdose prevention services upon release from prison: Estonia, Lithuania, Hungary, Poland and Romania . https://idpc.net/publications/2014/07/overdose-prevention-services-upon-release-from-prison-estonia-lithuania-hungary-poland-and-romania",,,,,,,
Bradford_2016,"Bradford, A. C., Bradford, W. D., Abraham, A., & Bagwell Adams, G. (2018). Association Between US State Medical Cannabis Laws and Opioid Prescribing in the Medicare Part D Population. JAMA Internal Medicine, 2, 02.",,,,,,,
Bradford_2018,"Bradford, Ashley C., & Bradford, W. D. (2018). The Impact of Medical Cannabis Legalization on Prescription Medication Use and Costs under Medicare Part D. The Journal of Law and Economics, 61(3), 461–487. https://doi.org/10.1086/699620",,,,,,,
Brady_2014,"Brady, J. E., Wunsch, H., DiMaggio, C., Lang, B. H., Giglio, J., & Li, G. (2014). Prescription drug monitoring and dispensing of prescription opioids. Public Health Rep, 129(2), 139–147. https://doi.org/10.1177/003335491412900207",,,,,,,
Brands_2003,"Brands, B., Blake, J., & Marsh, D. (2003). Impact of Methadone Program Philosophy Changes on Early Treatment Outcomes. Journal of Addictive Diseases, 22(3), 19–38. https://doi.org/10.1300/J069v22n03_03",,,,,,,
Branham_2017,"Branham, D. K. (2018). Time-Series Analysis of the Impact of Prescription Drug Monitoring Programs on Heroin Treatment Admissions. Subst Use Misuse, 53(4), 694–701. https://doi.org/10.1080/10826084.2017.1363232",,,,,,,
Bravo_2007,"Bravo, M. J., Royuela, L., Barrio, G., de la Fuente, L., Suarez, M., & Brugal, M. T. (2007). More free syringes, fewer drug injectors in the case of Spain. Social Science & Medicine, 65(8), 1773–1778.",,,,,,,
Brighthaupt_2019,"Brighthaupt, S. C., Stone, E. M., Rutkow, L., & McGinty, E. E. (2019). Effect of pill mill laws on opioid overdose deaths in Ohio & Tennessee: A mixed-methods case study. Prev Med, 126, 105736. https://doi.org/10.1016/j.ypmed.2019.05.024",,,,,,,
Brownsberger_2004,"Brownsberger, W. N., Aromaa, S. E., Brownsberger, C. N., & Brownsberger, S. C. (2004). An empirical study of the school zone anti-drug law in three cities in Massachusetts. Journal of Drug Issues, 34(4), 933–949.",,,,,,,
Brown_2010,"Brown, R. T. (2010). Systematic review of the impact of adult drug-treatment courts. Translational Research, 155(6), 263–274.",,,,,,,
Brown_2017,"Brown, R., Riley, M. R., Ulrich, L., Kraly, E. P., Jenkins, P., Krupa, N. L., & Gadomski, A. (2017). Impact of New York prescription drug monitoring program, I-STOP, on statewide overdose morbidity. Drug & Alcohol Dependence, 178, 348–354.",,,,,,,
Bruce_2009,"Bruce, R. D., Govindasamy, S., Sylla, L., Kamarulzaman, A., & Altice, F. L. (2009). Lack of Reduction in Buprenorphine Injection After Introduction of Co-Formulated Buprenorphine/Naloxone to the Malaysian Market. American Journal of Drug & Alcohol Abuse, 35(2), 68–72.",,,,,,,
Buchmueller_2018,"Buchmueller, T. C., & Carey, C. (2017). The Effect of Prescription Drug Monitoring Programs on Opioid Utilization in Medicare (Working Paper No. 23148). National Bureau of Economic Research. http://www.nber.org/papers/w23148",,,,,,,
Buer_2014,"Buer, L. M., Havens, J. R., & Leukefeld, C. (2014). Does the new formulation of OxyContin(R) deter misuse? A qualitative analysis. Subst Use Misuse, 49(6), 770–774. https://doi.org/10.3109/10826084.2013.866963",,,,,,,
Buhl_2004,"Buhl, L., Saelan, H., & Sorensen, T. M. (2004). Adverse events due to change in organization of problem drug users’ treatment? Scandinavian Journal of Public Health, 32(2), 130–135.",,,,,,,
Bunting_2019,"Bunting, A. M., Victor, G., Pike, E., Staton, M., Winston, E., & Pangburn, K. (2020). The Impact of Policy Changes on Heroin and Nonmedical Prescription Opioid Use Among an Incarcerated Population in Kentucky, 2008 to 2016. Criminal Justice Policy Review, 31(5), 746–762. https://doi.org/10.1177/0887403419838029",,,,,,,
Burger_2017,"Burger, J., & Kapron, M. J. D. (2017). Drug Policy and Indigenous Peoples. Health and Human Rights, 19(1), 269.",,,,,,,
Burns_2016,"Burns, R. M., Pacula, R. L., Bauhoff, S., Gordon, A. J., Hendrikson, H., Leslie, D. L., & Stein, B. D. (2016). Policies related to opioid agonist therapy for opioid use disorders: The evolution of state policies from 2004 to 2013. Substance Abuse, 37(1), 63–69.",,,,,,,
Busch_2014,"Busch, S. H., Epstein, A. J., Harhay, M. O., Fiellin, D. A., Un, H., Leader, D., Jr., & Barry, C. L. (2014). The effects of federal parity on substance use disorder treatment. Am J Manag Care, 20(1), 76–82.",,,,,,,
Butler_2013,"Butler, S. F., Cassidy, T. A., Chilcoat, H., Black, R. A., Landau, C., Budman, S. H., & Coplan, P. M. (2013). Abuse rates and routes of administration of reformulated extended-release oxycodone: Initial findings from a sentinel surveillance sample of individuals assessed for substance abuse treatment. J Pain, 14(4), 351–358. https://doi.org/10.1016/j.jpain.2012.08.008",,,,,,,
Cady_2019,"Cady, A. (2019). 50 Shades of Data Sharing: How a Uniform Fifty-State Prescription Drug Monitoring Program Can Restore Discretion to Opioid Prescribers and Autonomy to Chronic Pain Patients. Health Matrix, 29(1), 464–500.",,,,,,,
Cahill_2003,"Cahill, R., Keenan, E., Clarke, A., Bol, M, & Barry, J. (2003). Consequences of legislative changes to methadone prescribing in Ireland. International Journal of Drug Policy, 14(3), 241–245.",,,,,,,
Cairns_2016,"Cairns, R., Brown, J. A., & Buckley, N. A. (2016). The impact of codeine re-scheduling on misuse: A retrospective review of calls to Australia’s largest poisons centre. Addiction, 111(10), 1848–1853.",,,,,,,
Calsyn_2003,"Calsyn, D. A., DeMarco, F. J., Saxon, A. J., Sloan, K. L., & Gibbon, K. E. (2003). Evaluation of a minimal services treatment track for noncompliant patients in opioid substitution treatment. American Journal of Public Health, 93(7), 1086–1088.",,,,,,,
Capoccia_2012,"Capoccia, V. A., Grazier, K. L., Toal, C., Ford, J. H., 2nd, & Gustafson, D. H. (2012). Massachusetts’s experience suggests coverage alone is insufficient to increase addiction disorders treatment. Health Aff (Millwood), 31(5), 1000–1008. https://doi.org/10.1377/hlthaff.2011.0326",,,,,,,
Cassidy_2014,"Cassidy, T. A., DasMahapatra, P., Black, R. A., Wieman, M. S., & Butler, S. F. (2014). Changes in prevalence of prescription opioid abuse after introduction of an abuse-deterrent opioid formulation. Pain Med, 15(3), 440–451. https://doi.org/10.1111/pme.12295",,,,,,,
Cassidy_2017,"Cassidy, T. A., Thorley, E., Black, R. A., DeVeaugh-Geiss, A., Butler, S. F., & Coplan, P. (2017). Abuse of reformulated OxyContin: Updated findings from a sentinel surveillance sample of individuals assessed for substance use disorder. J Opioid Manag, 13(6), 425–440. https://doi.org/10.5055/jom.2017.0419",,,,,,,
Castillo-Carniglia_2019,"Castillo-Carniglia, A., Ponicki, W. R., Gaidus, A., Gruenewald, P. J., Marshall, B. D. L., Fink, D. S., Martins, S. S., Rivera-Aguirre, A., Wintemute, G. J., & Cerda, M. (2019). Prescription Drug Monitoring Programs and Opioid Overdoses: Exploring Sources of Heterogeneity. Epidemiology, 30(2), 212–220. https://doi.org/10.1097/ede.0000000000000950",,,,,,,
Casturi_2013,"Casturi, N. (2012). A Modern Day Apocalypse: The Pill Mill Epidemic, How It Took Texas by Storm, and How Texas Is Fighting Back Comment. Tex. Tech. Admin. L.J., 14, 445–466.",,,,,,,
CDC_nd,"Prevention, Center for Disease Control and. (2015a). Doctor Shopping Laws. https://www.cdc.gov/phlp/docs/menu-shoppinglaws.pdf",,,,,,,
CDC_nd_2,"Prevention, Center for Disease Control and. (2015b). Menu of Pain Management Clinic Regulation. https://www.cdc.gov/phlp/docs/menu-pmcr.pdf",,,,,,,
CDC_nd_3,"Prevention, Center for Disease Control and. (2015c). Menu of State Laws Related to Prescription Drug Overdose Emergencies. https://www.cdc.gov/phlp/docs/menu-pdoe.pdf",,,,,,,
CDC_nd_4,"Prevention, Center for Disease Control and. (2015d). Menu of State Prescription Drug  Identification Laws. https://www.cdc.gov/phlp/docs/menu-pdil.pdf",,,,,,,
CDC_nd_5,"Prevention, Center for Disease Control and. (2015e). Tamper-Resistant Prescription Form Requirements. https://www.cdc.gov/phlp/docs/menu-prescriptionform.pdf",,,,,,,
